FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y,Class
5.239,-0.57,6.795,1.292,3.682,3.591,1.058,2.706,2.258,2.563,3.479,0.305,0.478,-9.41,-4.323,3.713,3.51,-4.272,2.238,-8.799,1.231,-1.434,-0.173,-4.395,-2.004,-10.02,-5.381,-5.88,-5.341,-9.41,-10.04,7.812,-0.193,-3.794,7.172,6.724,-1.546,4.72,1.434,2.787,-0.61,1.241,-6.165,2.187,2.004,-4.588,-3.326,3.103,4.272,-1.353,0.875,-5.666,2.879,-2.238,-0.966,-5.137,-0.57,-5.971,-8.972,-3.571,-1.302,-0.163,5.229,8.331,a
0.844,-3.011,1.424,-0.173,2.706,-0.315,2.523,4.171,3.235,2.563,-0.427,1.282,0.478,-7.456,-6.276,-3.611,3.021,-4.761,2.726,-3.916,-0.234,-1.434,-2.614,-4.883,-3.469,-10.02,-10.752,-6.856,-7.294,-10.874,-11.505,1.465,-1.658,-11.119,4.242,6.724,8.219,5.208,1.434,3.276,-1.099,1.241,-5.676,4.14,2.492,-4.588,-6.744,2.614,0.366,-1.841,-3.031,-6.643,1.414,-3.215,-29.775,-16.856,0.895,-6.948,-9.46,-4.059,-2.767,-0.651,1.322,1.984,a
-0.621,-2.035,-1.994,-0.661,4.171,-1.78,4.476,4.659,5.676,1.587,-1.404,2.747,1.943,-2.574,-3.835,-7.029,1.556,-3.784,-2.645,-7.823,-2.187,-2.899,-6.032,-6.348,-4.934,-10.997,-15.635,-8.321,-8.759,-10.874,-11.505,-1.465,2.248,-11.607,4.73,4.771,8.708,0.814,3.876,2.299,0.366,-0.224,-3.235,5.605,4.445,-5.076,-8.209,3.591,-4.517,-3.306,-8.403,-8.108,1.414,-2.238,3.916,-3.672,2.36,-8.413,-10.437,-5.035,-5.208,-2.116,-0.142,-1.434,a
2.309,1.383,0.448,-1.638,6.612,1.149,6.429,5.147,8.118,-0.366,0.061,2.747,3.896,-0.132,0.559,-6.053,1.556,-1.831,-2.157,-0.987,-3.652,-3.876,-8.474,-7.324,-6.399,-11.973,-16.612,-9.298,-9.735,-10.874,-11.993,0,7.131,-5.747,6.683,2.33,-0.57,-5.046,7.294,-0.142,2.808,-2.665,-0.305,6.093,6.887,-6.541,-7.721,5.544,-6.958,-5.259,-12.309,-11.037,2.879,1.668,0.987,-23.692,3.825,-9.389,-10.925,-6.5,-7.161,-2.604,2.299,0.031,a
6.215,5.29,5.819,-2.614,8.565,5.544,6.917,4.171,8.606,-2.319,2.502,2.258,4.873,-3.55,3.489,-2.146,0.092,-0.366,-9.969,-7.823,-3.164,-4.364,-8.962,-8.301,-5.91,-11.973,-11.729,-8.809,-9.735,-10.386,-11.505,3.906,9.084,0.6,7.66,-0.112,-10.824,-8.464,8.27,-2.096,4.761,-5.595,2.625,5.117,7.863,-9.471,-5.28,7.497,-5.981,-5.747,-12.309,-12.014,1.414,1.18,-2.92,-4.161,3.825,-8.901,-10.925,-6.989,-6.673,-2.604,5.717,3.937,a
7.192,5.778,9.237,-2.126,8.077,8.474,5.452,2.706,7.629,-3.296,3.967,0.793,4.873,-9.898,2.513,0.295,3.998,-4.272,-14.364,-8.311,-1.211,-3.876,-6.032,-7.812,-3.957,-10.508,-3.428,-7.833,-7.294,-9.898,-11.017,6.348,7.131,2.553,6.683,-1.577,-12.777,-6.999,5.341,-2.584,5.249,-7.06,4.089,3.164,6.399,-11.424,-0.885,7.497,-1.587,-5.747,-8.403,-10.549,0.926,-4.679,-30.263,-5.625,2.36,-7.924,-10.437,-6.989,-4.72,-2.116,7.182,5.89,a
4.262,3.825,7.772,1.292,5.147,7.497,3.011,1.729,5.676,-2.808,4.944,-0.671,3.408,-14.781,-0.905,-1.17,-2.838,0.61,3.215,-0.01,1.231,-3.387,-2.126,-6.836,-2.004,-7.579,2.431,-6.368,-4.852,-8.921,-9.552,3.418,3.225,-0.865,2.777,-1.577,-6.429,-3.092,0.458,-2.096,4.272,-6.083,4.089,1.211,3.469,-10.935,2.533,5.056,2.319,-4.283,-2.543,-8.108,-1.516,-0.773,-2.431,-0.254,0.407,-6.948,-8.484,-6.012,-1.79,-0.651,4.252,4.425,a
-1.109,-0.57,1.912,6.175,0.753,3.591,0.57,0.264,4.211,-1.831,3.479,-1.16,1.943,-14.781,-4.323,-4.588,-2.35,1.587,-7.039,-1.963,2.207,-2.411,0.315,-5.371,-2.004,-5.625,1.455,-5.88,-3.387,-7.945,-8.575,-2.441,0.295,-4.283,-2.106,-1.577,1.383,-0.651,-5.89,-1.607,2.808,-3.642,0.671,-0.743,1.027,-8.494,4.486,1.638,3.296,-3.306,0.387,-4.201,1.414,2.157,-14.15,-12.95,-0.57,-5.483,-7.019,-4.547,-0.326,0.326,-1.119,0.031,a
-5.503,-4.476,-5.412,9.104,-2.665,-0.804,-0.895,-0.224,2.747,-0.366,1.526,-1.16,0.478,-10.874,-6.276,-7.029,-1.862,-2.808,-1.668,-3.916,1.231,-1.923,-0.661,-3.906,-2.981,-5.625,-4.405,-6.856,-4.364,-7.456,-7.599,-6.836,-0.682,-4.283,-5.524,-1.577,3.825,-1.139,-8.82,-1.119,0.854,-1.2,-4.7,-0.743,-0.437,-5.564,2.533,-0.804,0.854,-2.33,-1.078,-3.225,0.926,-0.285,-18.545,-1.719,-1.058,-5.971,-7.019,-4.547,-1.302,-0.163,-6.002,-3.876,a
-6.48,-5.452,-7.853,8.616,-2.665,-2.268,-0.407,-0.224,1.282,0.122,-1.404,-0.183,-0.01,-5.992,-6.276,-5.564,2.533,-5.737,-0.203,-5.381,-0.722,-1.434,-3.591,-3.906,-4.445,-6.114,-10.752,-7.833,-6.317,-7.945,-8.087,-6.836,-0.193,0.112,-6.012,-1.577,-0.081,-2.604,-7.355,-0.142,-0.61,-0.224,-9.583,0.234,-0.437,-4.1,-1.862,-1.78,-2.563,-2.33,-5.473,-3.713,1.902,-2.726,-1.455,-5.137,-0.081,-6.948,-7.507,-4.547,-3.743,-0.651,-6.978,-5.341,a
-4.038,-3.988,-4.435,1.78,0.264,-0.804,0.57,-0.712,-0.183,0.61,-3.845,0.793,-0.01,-4.038,-5.3,-1.17,1.068,-4.272,0.773,-4.893,-1.699,-1.434,-7.009,-3.906,-4.445,-5.137,-12.217,-7.345,-8.759,-7.945,-9.552,-3.906,-0.193,4.506,-3.571,-0.112,-3.988,-4.069,-2.96,-0.142,-2.075,-1.2,-11.536,1.211,0.539,-4.588,-7.721,-0.315,-5.005,-1.841,-9.867,-4.69,3.367,-1.75,-0.966,-7.579,0.895,-7.924,-8.484,-4.547,-5.697,-1.139,-4.049,-3.387,a
-0.132,-2.035,3.377,-7.985,2.706,1.149,2.035,-0.224,-2.136,0.122,-5.798,0.793,-0.01,-5.015,-4.323,2.736,3.998,-4.272,0.773,-5.87,-2.187,-1.434,-7.497,-3.418,-2.981,-3.184,-9.288,-5.88,-8.759,-7.456,-10.04,0,-0.682,3.042,0.824,2.33,-2.523,-4.069,1.434,-0.631,-2.563,-2.665,-8.606,2.187,0.539,-5.564,-11.139,1.638,-5.005,-1.353,-10.356,-4.69,3.855,-1.75,-0.478,-17.832,0.895,-7.924,-8.972,-4.547,-5.697,-1.139,-0.142,-0.458,a
1.821,-2.035,9.237,-17.751,3.682,2.614,2.035,-0.712,-2.625,-1.343,-5.798,0.305,-0.498,-7.456,-4.323,3.225,-0.397,-2.808,-1.18,-12.705,-0.722,-0.946,-5.544,-2.441,-1.516,-0.743,-5.87,-3.927,-7.294,-6.968,-10.04,1.465,-1.17,-3.306,4.242,4.771,4.313,-3.581,1.923,-2.096,-3.052,-3.642,-1.282,1.699,0.539,-7.029,-11.139,2.614,-3.052,-0.865,-6.938,-3.225,1.414,-1.75,-12.197,-9.043,0.407,-6.46,-8.484,-3.082,-3.743,-0.163,2.299,1.984,a
1.821,-3.499,9.237,-22.634,3.194,1.149,1.546,-0.712,-1.16,-2.319,-4.333,-0.671,-0.01,-8.433,-4.323,1.272,23.041,-8.667,1.261,-16.612,0.254,-1.434,-2.126,-1.953,-1.027,-1.231,-4.405,-4.415,-5.341,-7.456,-9.552,0,-0.682,-10.63,6.195,4.283,9.684,-3.092,-1.007,-4.049,-1.587,-3.642,5.554,0.722,0.539,-7.517,-7.721,2.126,-1.587,-1.353,-2.055,-2.248,7.273,-5.168,-15.127,-17.344,-0.081,-4.995,-7.507,-2.106,-1.79,0.326,1.811,3.937,a
0.356,-5.941,5.33,-20.192,1.241,-0.315,1.058,-1.2,1.77,-4.272,-1.892,-1.16,0.966,-6.968,-2.858,-0.682,-22.858,-0.854,-1.18,-5.87,1.231,-1.923,-0.661,-2.93,-2.004,-4.649,-4.893,-6.368,-4.364,-8.433,-8.087,-2.441,1.76,-12.583,6.195,0.376,7.243,-2.604,-3.448,-5.025,0.854,-4.618,8.484,-0.254,1.027,-7.029,-3.326,1.149,-0.122,-2.818,-0.59,-2.736,-2.981,1.668,-4.873,-10.508,-0.081,-4.995,-7.996,-3.082,-1.302,0.326,0.346,4.913,a
-0.132,-6.429,-0.041,-8.962,0.753,-1.292,1.546,-2.177,4.211,-5.249,0.061,-1.648,2.431,-4.038,-0.417,-1.17,-9.186,1.587,-11.922,-11.729,0.743,-3.387,-1.149,-5.371,-4.445,-9.043,-5.381,-8.809,-5.341,-10.386,-8.087,-2.93,5.178,-6.724,5.707,-5.971,-1.546,-2.604,-1.984,-4.537,3.296,-5.595,6.042,0.234,2.492,-7.517,-0.397,0.661,-0.122,-5.259,-1.567,-5.666,-2.492,1.18,-14.15,-18.809,0.895,-6.948,-9.46,-5.035,-2.279,-1.139,-0.142,5.402,a
1.821,-3.011,-1.994,6.175,2.706,0.173,3.011,-1.689,6.165,-5.249,1.038,-0.671,3.896,-2.574,2.513,0.295,-3.326,-3.296,-5.575,-17.588,-0.234,-4.852,-3.103,-8.789,-6.399,-13.438,-3.916,-11.251,-7.782,-12.339,-9.552,-0.977,8.596,3.042,5.707,-10.366,-8.382,-3.581,3.387,-3.072,4.761,-7.548,0.183,2.187,3.957,-8.982,0.58,2.614,-0.122,-7.212,-4.496,-10.061,-0.051,-1.75,-31.24,-23.692,2.36,-9.389,-10.925,-7.965,-4.72,-2.604,1.811,5.402,a
4.262,3.825,-0.529,18.87,6.612,3.591,5.941,0.264,5.676,-3.784,0.549,0.793,4.873,-4.038,3.977,1.76,-2.35,-3.784,-3.621,-6.358,-1.699,-5.829,-5.544,-11.719,-7.375,-15.391,-2.452,-12.716,-10.712,-13.804,-11.993,1.953,10.549,9.878,6.195,-9.389,-6.429,-6.51,9.247,-1.119,4.272,-8.036,-4.7,5.117,5.91,-11.424,-0.397,6.521,-0.122,-8.189,-6.449,-13.967,0.926,-0.285,-43.447,-20.762,3.825,-11.831,-12.878,-9.918,-6.673,-3.581,4.252,3.937,a
6.704,10.661,1.912,23.265,9.542,7.009,7.894,3.194,5.188,-1.343,0.061,2.258,4.873,-7.456,2.513,1.272,-1.373,-5.737,-10.457,-14.659,-3.164,-6.317,-7.497,-13.672,-8.352,-16.856,-3.428,-14.669,-12.665,-15.269,-14.923,3.418,10.061,9.389,6.683,-3.042,2.36,-8.952,12.177,1.322,2.808,-7.06,-5.676,7.558,7.375,-12.889,-2.35,9.939,-1.099,-8.189,-7.426,-16.897,-0.539,-3.215,-22.939,-14.414,4.801,-14.272,-14.832,-11.871,-8.626,-4.557,6.694,1.495,a
7.192,14.079,2.889,16.917,11.007,9.45,9.359,7.1,4.7,1.099,0.061,4.211,3.896,-9.41,-1.394,-0.193,0.092,-2.808,-0.692,-4.893,-4.14,-6.317,-7.985,-14.648,-9.328,-17.832,-8.311,-16.622,-14.618,-17.222,-18.829,3.418,7.131,3.53,5.219,4.283,7.243,-9.928,10.223,2.299,0.854,-5.107,-2.258,9.023,7.863,-13.377,-4.303,11.403,-3.54,-8.189,-7.426,-18.361,0.437,-1.261,-4.384,-11.973,5.29,-15.737,-17.273,-12.848,-9.603,-4.557,7.182,-0.946,a
5.727,12.614,2.401,4.71,10.03,9.939,9.359,8.565,4.7,2.563,1.526,4.7,2.92,-8.433,-4.323,-1.17,-1.862,-5.249,-1.668,-14.17,-5.117,-5.829,-9.45,-15.137,-10.305,-18.809,-14.17,-19.063,-16.571,-19.175,-22.247,1.953,4.201,-1.841,1.801,8.677,4.313,-6.999,5.341,2.787,-0.122,-4.13,1.648,9.023,7.375,-12.889,-5.28,11.403,-5.981,-8.189,-8.891,-19.826,2.391,0.203,3.428,-7.579,5.29,-17.69,-20.203,-13.336,-11.068,-4.557,5.229,-1.923,a
4.262,8.219,2.889,-4.079,8.077,7.985,8.382,8.077,5.188,2.075,2.991,4.7,2.92,-4.527,-5.3,0.295,6.927,-5.737,-4.11,-10.752,-5.605,-4.852,-10.427,-14.648,-10.305,-19.297,-18.077,-19.552,-17.548,-21.128,-24.2,0.488,2.248,-0.865,-1.617,8.189,-2.035,-1.139,1.434,1.811,0.366,-3.642,3.113,8.046,6.399,-11.424,-5.28,9.45,-7.935,-8.189,-10.356,-19.338,3.367,-2.238,-4.384,-17.344,4.313,-18.667,-22.156,-13.336,-11.556,-4.069,3.764,-1.923,a
3.774,3.337,4.354,-4.079,6.612,5.544,6.917,5.636,5.676,1.587,3.967,3.723,2.92,-1.109,-4.323,2.248,5.951,-6.226,-14.852,-12.217,-5.117,-4.364,-10.915,-13.672,-9.328,-17.832,-18.077,-18.087,-18.036,-21.128,-23.712,0.977,2.248,4.018,-3.571,3.794,-3.499,4.232,0.458,0.346,1.343,-4.13,1.648,6.582,5.91,-9.471,-3.815,7.497,-7.446,-7.701,-10.844,-17.873,1.414,-4.679,-16.591,-14.903,3.825,-18.667,-22.156,-12.848,-12.044,-3.581,3.276,0.031,a
4.751,0.895,5.819,2.268,6.124,3.591,5.941,2.706,5.676,0.61,2.991,2.258,3.408,-2.085,-2.858,3.713,-5.28,-1.343,-2.645,-1.475,-3.652,-4.364,-9.939,-12.695,-7.863,-15.391,-13.682,-15.157,-16.571,-18.687,-19.806,2.441,3.713,8.413,-2.106,-0.112,3.337,5.208,2.411,-0.631,1.831,-4.13,-1.282,5.117,5.422,-8.494,-1.862,6.032,-5.005,-7.212,-9.867,-14.943,-1.516,-0.773,-6.826,-15.391,2.848,-16.713,-18.738,-11.383,-10.091,-3.092,4.252,2.96,a
6.704,1.383,5.33,8.128,6.124,2.614,4.964,1.241,5.188,0.122,0.549,1.282,3.408,-6.968,-1.882,4.69,-6.256,2.563,-11.922,-2.94,-2.187,-4.364,-7.985,-11.719,-6.399,-12.95,-8.799,-12.227,-14.13,-14.292,-13.947,4.395,5.178,8.413,1.312,-0.6,11.637,1.302,6.317,-0.631,2.319,-3.153,-2.747,4.14,4.934,-8.494,-0.885,6.032,-2.075,-6.724,-7.426,-12.502,-1.516,2.645,-4.873,-1.231,1.872,-13.784,-13.367,-9.918,-8.138,-2.604,6.694,5.89,a
8.169,4.801,3.377,6.663,6.612,3.591,4.964,1.729,4.7,-0.854,-1.892,0.305,2.92,-11.851,-2.37,6.154,7.904,-2.319,14.933,-10.264,-1.211,-4.364,-6.032,-10.742,-6.399,-11.973,-5.381,-11.251,-11.2,-10.386,-8.087,6.348,5.178,5.483,4.73,2.33,13.102,-2.116,9.735,-0.142,2.319,-3.153,-2.747,4.14,4.934,-8.494,-1.862,6.521,-0.122,-6.724,-5.961,-11.525,3.367,-1.75,-20.498,-17.832,1.383,-10.854,-8.972,-8.942,-6.673,-2.116,8.158,9.308,a
8.169,7.731,1.912,-2.126,7.1,6.521,4.964,3.682,5.188,-0.854,-1.404,0.305,2.431,-11.363,-1.882,9.572,-5.28,1.099,-11.922,4.873,-1.211,-4.364,-6.032,-10.742,-6.887,-10.508,-4.405,-12.227,-10.223,-8.921,-6.134,7.812,5.178,4.506,6.195,5.747,6.755,-0.651,10.223,0.834,1.831,-3.642,-2.258,5.117,5.422,-8.006,-3.815,7.497,-0.122,-7.212,-6.938,-11.525,-2.492,0.203,-36.123,-30.528,1.872,-9.878,-7.019,-8.942,-6.673,-1.628,8.158,11.749,a
7.68,9.196,3.866,-10.915,8.077,10.427,5.941,6.124,5.676,-0.854,1.526,1.282,2.92,-5.992,-0.417,13.967,1.068,-0.854,-3.133,-7.823,-2.187,-4.364,-7.497,-10.742,-7.863,-9.043,-5.87,-13.692,-11.2,-9.41,-8.087,9.277,6.154,7.436,5.707,8.189,-0.081,5.208,9.247,1.811,2.319,-3.642,-2.258,6.582,6.399,-7.029,-4.791,8.962,-2.075,-7.212,-9.379,-11.037,1.902,-0.285,-22.939,0.722,2.848,-11.342,-8.484,-9.918,-8.138,-2.604,7.182,11.749,a
7.68,9.196,8.26,-11.403,9.542,13.357,7.406,7.589,6.165,0.61,5.432,3.235,3.408,0.356,3.001,17.385,-2.35,-0.366,-9.969,-2.94,-4.14,-4.364,-9.939,-10.254,-8.352,-6.602,-8.311,-14.669,-13.641,-12.339,-12.97,9.766,8.596,11.342,5.219,9.165,-1.546,11.068,8.759,3.276,2.808,-2.177,-1.77,8.046,7.375,-5.076,-3.326,10.427,-4.517,-6.236,-11.332,-10.061,-0.539,0.203,-9.267,-1.719,3.825,-13.295,-12.39,-10.406,-10.091,-3.092,6.694,10.773,a
8.657,8.708,12.655,-1.638,11.495,14.333,8.382,8.565,6.165,3.54,6.897,4.211,3.896,2.797,5.931,17.385,2.533,-3.296,-3.621,-10.264,-5.117,-3.876,-11.403,-9.766,-8.352,-4.161,-9.288,-14.181,-15.106,-13.804,-17.853,10.254,12.502,11.831,6.195,8.677,4.313,10.579,11.2,4.74,3.296,0.264,0.183,8.535,8.352,-3.123,-0.397,11.892,-5.981,-4.283,-11.82,-8.108,-0.539,-3.215,-5.361,-5.137,4.313,-15.249,-15.32,-10.406,-11.556,-3.581,8.158,9.308,a
11.098,9.196,13.143,13.011,12.472,12.868,9.359,9.542,5.188,5.981,5.92,4.7,3.896,0.844,7.395,15.432,3.021,4.028,3.703,-7.334,-5.117,-3.876,-10.915,-8.301,-7.863,-2.696,-9.288,-13.204,-15.594,-13.804,-19.318,10.254,15.432,7.924,9.125,8.189,9.196,4.72,15.106,5.717,3.296,2.706,2.625,9.511,8.352,-2.635,1.556,12.38,-5.981,-2.818,-9.867,-5.666,1.902,0.692,-26.845,-12.461,4.313,-14.76,-15.32,-9.43,-11.068,-3.581,11.088,7.843,a
13.54,11.149,9.237,24.729,12.96,10.915,8.87,9.054,5.188,7.935,2.502,4.7,3.408,-2.085,5.931,12.014,-1.862,-0.366,-3.621,-8.799,-4.14,-3.387,-8.962,-7.812,-6.887,-3.184,-8.311,-11.739,-14.618,-11.851,-17.365,10.742,16.408,3.53,11.566,8.189,7.243,-1.628,18.036,5.229,2.808,3.194,4.089,9.511,8.352,-2.635,2.045,12.868,-5.005,-2.818,-7.426,-4.69,-1.027,-0.285,-4.384,-9.043,4.313,-12.807,-12.39,-7.965,-9.603,-3.092,13.529,7.843,a
